case_id,query,candidate_id,name,category,city,address,languages,tags,label,notes
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,3,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,2,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
scarborough-mandarin-home-care,Mandarin home care Scarborough,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,2,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,3,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,1,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
scarborough-mandarin-meals,Mandarin meal support Scarborough,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,3,
toronto-newcomer-health,newcomer multicultural health Toronto,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,1,
toronto-newcomer-health,newcomer multicultural health Toronto,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
